JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460158.55293,10.155,0.003,,I,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.546|CMAGINS=16.772|CREFMAG= 9.355|CREFERR= 0.003|KMAGINS=17.750|KREFMAG=10.321|KREFERR= 0.004,1,1.173,Z,16.772,17.750,,DY HER,AAVSO,STD,1,,,
2460158.55370,10.640,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.072|CMAGINS=16.889|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.843|KREFMAG=11.431|KREFERR= 0.004,1,1.174,Z,16.889,17.843,,DY HER,AAVSO,STD,1,,,
2460158.55443,10.645,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.092|CMAGINS=16.905|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.866|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.175,Z,16.905,17.866,,DY HER,AAVSO,STD,1,,,
2460158.55515,10.654,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.082|CMAGINS=16.886|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.848|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.176,Z,16.886,17.848,,DY HER,AAVSO,STD,1,,,
2460158.55588,10.645,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.077|CMAGINS=16.890|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.856|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.177,Z,16.890,17.856,,DY HER,AAVSO,STD,1,,,
2460158.55659,10.644,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.068|CMAGINS=16.883|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.851|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.178,Z,16.883,17.851,,DY HER,AAVSO,STD,1,,,
2460158.55730,10.651,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.067|CMAGINS=16.874|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.837|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.179,Z,16.874,17.837,,DY HER,AAVSO,STD,1,,,
2460158.55802,10.656,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.084|CMAGINS=16.887|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.856|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.180,Z,16.887,17.856,,DY HER,AAVSO,STD,1,,,
2460158.55872,10.655,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.099|CMAGINS=16.903|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.873|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.180,Z,16.903,17.873,,DY HER,AAVSO,STD,1,,,
2460158.55943,10.656,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.092|CMAGINS=16.894|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.863|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.181,Z,16.894,17.863,,DY HER,AAVSO,STD,1,,,
2460158.56016,10.665,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.120|CMAGINS=16.912|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.888|KREFMAG=11.431|KREFERR= 0.004,1,1.182,Z,16.912,17.888,,DY HER,AAVSO,STD,2,,,
2460158.56091,10.162,0.003,,I,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.563|CMAGINS=16.782|CREFMAG= 9.355|CREFERR= 0.003|KMAGINS=17.761|KREFMAG=10.321|KREFERR= 0.004,1,1.183,Z,16.782,17.761,,DY HER,AAVSO,STD,2,,,
2460158.56169,10.665,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.108|CMAGINS=16.902|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.863|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.185,Z,16.902,17.863,,DY HER,AAVSO,STD,2,,,
2460158.56242,10.665,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.098|CMAGINS=16.891|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.851|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.186,Z,16.891,17.851,,DY HER,AAVSO,STD,2,,,
2460158.56314,10.666,0.003,,V,MZK,,000-BBX-643,000-BJR-400,X28007GC,|VMAGINS=17.135|CMAGINS=16.928|CREFMAG=10.474|CREFERR= 0.003|KMAGINS=17.893|KREFMAG=11.431|KREFERR= 0.004|TV_VI=0.0269,1,1.187,Z,16.928,17.893,,DY HER,AAVSO,STD,2,,,
