JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2452786.5922,10.24,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.5931,10.25,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.595,10.27,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.5968,10.24,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.5978,10.26,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.5987,10.26,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6006,10.24,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6015,10.32,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6043,10.3,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6061,10.31,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6071,10.26,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.608,10.28,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6099,10.29,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6117,10.32,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6127,10.28,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6136,10.3,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6155,10.31,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6173,10.31,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6183,10.3,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6192,10.35,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.621,10.3,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6229,10.31,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6238,10.3,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6248,10.25,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6266,10.26,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6294,10.24,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6304,10.21,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6322,10.19,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6341,10.15,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.635,10.15,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6359,10.13,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6369,10.08,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6378,10.1,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6397,10.07,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6406,10.04,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6425,10.0,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6434,9.98,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6453,9.92,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6462,9.9,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6471,9.9,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.648,9.86,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.649,9.85,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6499,9.83,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6518,9.82,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6527,9.84,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6536,9.81,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6546,9.85,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6555,9.82,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6564,9.84,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6574,9.84,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6583,9.82,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6592,9.84,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6602,9.84,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6611,9.89,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.662,9.84,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.663,9.86,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6639,9.85,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6648,9.87,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6657,9.87,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6683,9.92,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6692,9.91,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6711,9.96,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.673,9.97,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6739,9.97,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6748,9.98,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6758,9.97,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6767,9.98,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6786,9.99,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6795,10.01,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6804,10.03,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6813,10.01,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6823,10.01,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6841,10.03,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6851,10.05,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.686,10.02,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6869,10.04,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6879,10.07,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6888,10.07,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6897,10.07,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6907,10.05,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6916,10.08,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6925,10.06,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6935,10.07,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6944,10.06,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6953,10.07,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6972,10.1,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.6981,10.08,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.699,10.12,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.7,10.09,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
2452786.7018,10.11,0.02,,V,DKS,,111,,GSC,"""ERR: 0.02, COMP=GSC 968-1532""",,,V,,,,DY HER,,STD,,,,
